順,順,大学名,タイム,結果
1,1,青山学院大学,28:41:54,1位
2,2,山梨学院大学,28:55:93,17位
3,3,日本体育大学,28:56:58,7位
4,4,東海大学,29:00:96,10位
5,5,早稲田大学,29:01:22,3位
6,6,東洋大学,29:01:69,2位
7,7,順天堂大学,29:04:62,4位
8,8,神奈川大学,29:05:22,5位
9,9,明治大学,29:08:35,18位
10,10,駒澤大学,29:09:78,9位
11,11,大東文化大学,29:14:30,13位
12,12,國學院大學,29:19:17,16位
13,13,国士舘大学,29:21:66,20位
14,14,中央学院大学,29:22:72,6位
15,15,法政大学,29:23:04,8位
16,16,帝京大学,29:31:48,11位
17,17,日本大学,29:32:45,19位
18,18,創価大学,29:34:86,12位
19,19,拓殖大学,29:36:68,14位
20,20,上武大学,29:45:03,15位
21,21,関東学生連合,29:06:23,参考
